ipc,numer_people_reached_target
HCI-HT-10-001,1811
HCI-HT-10-002,9667
HCI-HT-10-003,24669
HCI-HT-10-004,47
HCI-HT-10-013,
HCI-HT-10-012,861
HCI-HT-10-005,10365
HCI-HT-10-006,43651
HCI-HT-10-007,26606
HCI-HT-10-008,250
HCI-HT-10-009,250
HCI-HT-10-010,4004
HCI-HT-10-011,
HLA-HT-10-001,220
HLA-HT-10-002,2400
HLA-HT-10-003,3040
HLA-HT-10-004,500
HEFI-HT-10-23-1405-02,3900
HEFI-HT-10-23-1407-02,2350
HEFI-HT-10-23-1414-02,2610
HEFI-HT-10-23-1416-60,1160
HELP-HT-10-001,10000
HSI-HT-10-001,
HSI-HT-10-002,
HSI-HT-10-003,
HSI-HT-10-004,
IMA-HT-07-001,4331098
IMA-HT-10-001,800000
IMA-HT-10-002,
IMA-HT-10-003,131000
IMA-HT-10-004,500000
IMA-HT-07-002,
IMA-HT-10-005,
IHC-HT-10-HT-1056,1000000
IMC-HT-10-001,33596
IMC-HT-10-002,65000
IMC-HT-10-003,76153
IMC-HT-10-004,2500
IMC-HT-10-1614,37000
IOCC-HT-10-2-57510/104/1,151546
IOCC-HT-10-2-57510/104/2,213383
IOCC-HT-10-2-57510/104/3,
IRD-HT-10-001,28000
IRD-HT-10-002,
IRC-HT-10-001,31826
IRC-HT-10-002,800
IRC-HT-10-003,38658
IRC-HT-10-004,757
IRC-HT-10-005,315
IRC-HT-10-006,10000
IRC-HT-10-007,1800
IRC-HT-10-008,2900
IRC-HT-10-009,2700
IRC-HT-10-010,2436
IRC-HT-10-011,880
IRC-HT-10-012,2000
IRC-HT-10-013,2900
IRC-HT-10-014,2171
IRC-HT-10-015,10000
IRC-HT-10-016,5000
IRC-HT-10-017,1343
IRC-HT-10-018,4000
IRC-HT-10-019,7000
LRD-HT-10-001,10000
LRD-HT-10-002,100000
LRD-HT-10-003,2900
LRD-HT-10-004,1000
LRD-HT-10-005,
LRD-HT-10-006,
LRD-HT-10-007,
LWR-HT-10-LA-HAI-2-001-10,1500
LWR-HT-10-LA-HAI-2-002-10,14200
LWR-HT-10-LA-HAI-2-003-10,12000
LWR-HT-10-LA-HAI-004-10,13500
LWR-HT-10-LA-HAI-2-005-10,35000
LWR-HT-10-Appeal HTI101,140000
LWR-HT-10-N/A1,28750
LWR-HT-10-N/A2,15000
LWR-HT-10-LA-HAI-4-001-10,10000
LWR-HT-10-LA-HAI-4-002-10,17500
LWR-HT-10-LA-HAI-3-001-10,55472
LWR-HT-10-LA-HAI-3-001-11,53926
LWR-HT-10-LA-HAI-4-001-11,600000
MSH-HT-xx-001,
MSH-HT-05-001,
MSH-HT-07-001,4086915
MAP-HT-10-32260,25000
MAP-HT-10-32076,112500
MAP-HT-10-32257,112500
MAP-HT-10-32258,125000
MAP-HT-10-32246,275000
MAP-HT-10-32261,275000
MAP-HT-10-32289,112500
MAP-HT-10-32398,112500
MAP-HT-10-31683,312500
MAP-HT-10-32427,187500
MAP-HT-10-32480,100000
MAP-HT-10-32597,625
MAP-HT-10-32677,500000
MAP-HT-10-32853,250000
MAP-HT-10-32279,37500
MAP-HT-10-32642,300000
MAP-HT-10-33073,250000
MAP-HT-10-33087,250000
MAP-HT-10-33170,87500
MAP-HT-10-32702,250000
MAP-HT-10-SMP,18248
MAP-HT-10-STMM,315000
MERLIN-HT-10-001,42500
MERLIN-HT-10-002,40000
MERLIN-HT-10-003,28000
MERLIN-HT-10-004,40000
MERLIN-HT-10-005,42500
MERLIN-HT-10-006,364000
MTI-HT-10-001,186080
MTI-HT-10-002,
MTI-HT-10-003,220
MTI-HT-10-004,
MTI-HT-10-005,7200
MFK-HT-10-001,
MFK-HT-10-002,
MFK-HT-10-003,
MFK-HT-10-004,
MFK-HT-10-005,
MFK-HT-10-006,
MFK-HT-10-007,
MFK-HT-10-008,
MFK-HT-10-009,
MFK-HT-10-010,
MFK-HT-10-011,
MFK-HT-10-012,
MFK-HT-10-013,
MFK-HT-10-014,
