Id,iso,_1st Administrative Level Name,lat,lon
287,BFA,Bougouriba,10.87856914,-3.391093774
288,BFA,Boulgou,11.50074533,-0.436432525
289,BFA,Boulkiemdé,12.30287982,-2.140765139
290,BFA,Comoé,10.29542089,-4.434425271
291,BFA,Ganzourgou,12.23126965,-0.764041558
292,BFA,Gnagna,12.92958445,0.037671886
293,BFA,Gourma,12.13424148,0.656633919
294,BFA,Houet,11.28162253,-4.257753377
295,BFA,Ioba,11.06115375,-2.983818348
296,BFA,Kadiogo,12.31022699,-1.506947964
297,BFA,Kénédougou,11.43223035,-4.973227535
298,BFA,Komondjari,12.74123269,0.74622258
299,BFA,Kompienga,11.4210749,0.884740713
300,BFA,Kossi,12.92482929,-3.884855892
301,BFA,Koulpélogo,11.40810588,0.214332595
302,BFA,Kouritenga,12.16714954,-0.292756483
303,BFA,Kourwéogo,12.60808296,-1.812918795
304,BFA,Léraba,10.62875666,-5.269133934
305,BFA,Loroum,13.89660301,-2.108909965
306,BFA,Mouhoun,12.19546987,-3.420504558
307,BFA,Nahouri,11.19520993,-1.204070275
308,BFA,Namentenga,13.14779594,-0.49288262
309,BFA,Nayala,12.69419969,-3.022562054
310,BFA,Noumbiel,9.833333,-3
311,BFA,Oubritenga,12.62249252,-1.305892471
312,BFA,Oudalan,14.64607453,-0.33930567
313,BFA,Passoré,12.89124013,-2.156628606
314,BFA,Poni,10.18156668,-3.250618803
315,BFA,Sanguié,12.2039547,-2.602388744
316,BFA,Sanmatenga,13.22320652,-1.015002537
317,BFA,Séno,13.94478357,-0.028438187
318,BFA,Sissili,11.28961532,-2.228337471
319,BFA,Soum,14.26684148,-1.339674627
320,BFA,Sourou,13.24722214,-3.004884102
321,BFA,Tapoa,12.06968119,1.747928616
322,BFA,Tuy,11.4217464,-3.514532958
323,BFA,Yagha,13.40230699,0.60464844
324,BFA,Yatenga,13.5950989,-2.3795386
325,BFA,Ziro,11.61290247,-1.870356171
326,BFA,Zondoma,13.16929945,-2.360473937
327,BFA,Zoundwéogo,11.55445131,-0.97809093
328,BGD,Barisal,22.4241001,90.34277086
329,BGD,Chittagong,22.71154114,91.73309396
330,BGD,Dhaka,24.17820803,90.28974638
331,BGD,Khulna,22.92444038,89.28805219
332,BGD,Rajshahi,25.15589937,89.05070987
333,BGD,Rangpur,25.75,89.25
334,BGD,Sylhet,24.71692897,91.6673623
335,BGR,Blagoevgrad,41.72251647,23.42448459
336,BGR,Burgas,42.49437506,27.3021614
337,BGR,Dobrich,43.64907693,27.93789236
338,BGR,Gabrovo,42.93187923,25.24716282
339,BGR,Grad Sofiya,42.66446188,23.40138082
340,BGR,Haskovo,41.84834678,25.94281518
341,BGR,Kardzhali,41.52675475,25.4416357
342,BGR,Kyustendil,42.25530672,22.86997356
343,BGR,Lovech,43.03525878,24.56880015
344,BGR,Montana,43.50184796,23.19509073
345,BGR,Pazardzhik,42.13368194,24.14094109
346,BGR,Pernik,42.61386114,22.85317111
347,BGR,Pleven,43.49449575,24.61752619
348,BGR,Plovdiv,42.25736444,24.82490356
349,BGR,Razgrad,43.64447048,26.57341398
350,BGR,Ruse,43.67862666,25.99898208
351,BGR,Shumen,43.29651567,27.00481372
352,BGR,Silistra,43.95164109,27.03223889
353,BGR,Sliven,42.67033976,26.24102632
354,BGR,Smolyan,41.62757468,24.6675734
355,BGR,Sofia,42.70737834,23.60901813
356,BGR,Stara Zagora,42.41191183,25.56732928
357,BGR,Targovishte,43.25464639,26.34994882
358,BGR,Varna,43.18649754,27.59507606
359,BGR,Veliko Tarnovo,43.19459726,25.64596587
360,BGR,Vidin,43.80239308,22.69013639
361,BGR,Vratsa,43.40376059,23.76416358
362,BGR,Yambol,42.29555914,26.62913995
363,BHR,Capital,26.21799728,50.57488225
364,BHR,Central,26.15093031,50.57629294
365,BHR,Muharraq,26.24418841,50.64406428
366,BHR,Northern,26.15511184,50.47682991
367,BHR,Southern,25.98440842,50.55312318
368,BHS,Acklins,22.4774199,-73.9963637
369,BHS,Berry Islands,25.61804872,-77.82709338
370,BHS,Biminis,25.10313323,-79.43653292
371,BHS,Black Point,24.04984838,-76.36502521
372,BHS,Cat Island,24.35596725,-75.50329551
373,BHS,Central Abaco,26.4455508,-77.16701917
374,BHS,Central Andros,24.4206036,-77.93258278
375,BHS,Central Eleuthera,25.12323849,-76.16304135
376,BHS,City of Freeport,26.52018901,-78.64525956
377,BHS,Crooked Island,22.76449723,-74.16305477
378,BHS,East Grand Bahama,26.67171612,-78.14134295
379,BHS,Exuma,23.66139521,-75.96129257
380,BHS,Grand Cay,27.22204941,-78.3203588
381,BHS,Harbour Island,25.54373243,-76.77110703
382,BHS,Hope Town,26.74326417,-77.32480059
383,BHS,Inagua,21.11137011,-73.32208135
384,BHS,Long Island,23.22261626,-75.07844541
385,BHS,Mangrove Cay,24.15040878,-77.76952054
386,BHS,Mayaguana,22.37441722,-72.96178854
387,BHS,Moore's Island,26.29116289,-77.56001019
388,BHS,New Providence,25.035009,-77.39482128
389,BHS,North Abaco,26.80563337,-77.5286935
390,BHS,North Andros,24.76707703,-78.09628061
391,BHS,North Eleuthera,25.42592995,-76.6220595
392,BHS,Ragged Island,22.38433098,-75.7627077
